source,target,weight
Dansk Folkeparti Solrød,denkorteavis.dk,2
Dansk Folkeparti Sorø,180grader.dk,1
Dansk Folkeparti Sorø,altinget.dk,1
Dansk Folkeparti Sorø,berlingske.dk,3
Dansk Folkeparti Sorø,bt.dk,1
Dansk Folkeparti Sorø,denkorteavis.dk,1
Dansk Folkeparti Sorø,ditoverblik.dk,3
Dansk Folkeparti Sorø,dr.dk,1
Dansk Folkeparti Sorø,ekstrabladet.dk,1
Dansk Folkeparti Sorø,facebook,2
Dansk Folkeparti Sorø,jyllands-posten.dk,3
Dansk Folkeparti Sorø,nan,6
Dansk Folkeparti Sorø,nyheder.tv2.dk,1
Dansk Folkeparti Sorø,politiken.dk,1
Dansk Folkeparti Svendborg,danskfolkeparti.dk,1
Dansk Folkeparti Svendborg,jyllands-posten.dk,1
Dansk Folkeparti Svendborg,nan,7
Dansk Folkeparti Svendborg,nyheder.tv2.dk,3
Dansk Folkeparti Syddjurs Lokalforening,nan,1
Dansk Folkeparti Sønderborg,nan,3
Dansk Folkeparti Tønder,facebook,2
Dansk Folkeparti Tønder,nan,1
Dansk Folkeparti Tønder,nyheder.tv2.dk,1
"Dansk Folkeparti i Ballerup, Måløv og Skovlunde",berlingske.dk,1
"Dansk Folkeparti i Ballerup, Måløv og Skovlunde",facebook,1
"Dansk Folkeparti i Ballerup, Måløv og Skovlunde",nan,1
"Dansk Folkeparti i Ballerup, Måløv og Skovlunde",weekendavisen.dk,1
Dansk Folkeparti i Brøndby,bt.dk,1
Dansk Folkeparti i Brøndby,ditoverblik.dk,2
Dansk Folkeparti i Brøndby,dr.dk,1
Dansk Folkeparti i Brøndby,ekstrabladet.dk,1
Dansk Folkeparti i Brøndby,facebook,1
Dansk Folkeparti i Brøndby,jyllands-posten.dk,1
Dansk Folkeparti i Brøndby,kristeligt-dagblad.dk,1
Dansk Folkeparti i Brøndby,nan,4
Dansk Folkeparti i Brøndby,politiken.dk,1
Dansk Folkeparti i Frederikssund,facebook,1
Dansk Folkeparti i Frederikssund,nan,6
Dansk Folkeparti i Glostrup,bt.dk,1
Dansk Folkeparti i Glostrup,danskfolkeparti.dk,2
Dansk Folkeparti i Glostrup,ditoverblik.dk,12
Dansk Folkeparti i Glostrup,ekstrabladet.dk,1
Dansk Folkeparti i Glostrup,facebook,2
Dansk Folkeparti i Glostrup,kristeligt-dagblad.dk,1
Dansk Folkeparti i Glostrup,nan,6
Dansk Folkeparti i Glostrup,nyheder.tv2.dk,2
Dansk Folkeparti i Glostrup,politiken.dk,1
Dansk Folkeparti i Holbæk,ditoverblik.dk,1
Dansk Folkeparti i Holbæk,nan,2
Dansk Folkeparti i Kalundborg,ditoverblik.dk,1
Dansk Folkeparti i Kalundborg,kristeligt-dagblad.dk,1
Dansk Folkeparti i København,altinget.dk,4
Dansk Folkeparti i København,berlingske.dk,4
Dansk Folkeparti i København,danskfolkeparti.dk,2
Dansk Folkeparti i København,denkorteavis.dk,1
Dansk Folkeparti i København,ditoverblik.dk,2
Dansk Folkeparti i København,document.dk,1
Dansk Folkeparti i København,dr.dk,1
Dansk Folkeparti i København,ekstrabladet.dk,1
Dansk Folkeparti i København,facebook,18
Dansk Folkeparti i København,ing.dk,1
Dansk Folkeparti i København,jyllands-posten.dk,3
Dansk Folkeparti i København,nan,12
Dansk Folkeparti i København,nyheder.tv2.dk,1
Dansk Folkeparti i København,politiken.dk,1
Dansk Folkeparti i Århus Kommune,facebook,1
Dansk Folkeparti i Århus Kommune,jyllands-posten.dk,1
Dansk Folkeparti i Århus Kommune,nan,4
Dansk Folkeparti i Århus Kommune,raeson.dk,1
Dansk Folkeparti i Århus Kommune,stiften.dk,3
Dansk Folkeparti på Mors,dr.dk,1
Dansk Folkeparti på Mors,politiken.dk,1
Dansk Folkeparti Ærø,facebook,1
Dansk Folkepartis Ungdom København,politiken.dk,1
Dansk Samling,nan,4
Dansk politik og verden omkring os,24nyt.dk,238
Danskere på Costa del Sol,nan,1
Danskerne støtter IKKE Støjberg,nan,4
Dansktoppen og Dansk Pop,nan,2
David A Bohlin,nan,1
David A Bohlin,twitter,1
Daytona,varldenidag.se,1
De Gule Veste DK,klimatsans.com,1
De virale nyheder,berlingske.dk,8
De virale nyheder,information.dk,5
De virale nyheder,jyllands-posten.dk,1
De virale nyheder,nordjyske.dk,1
De virale nyheder,politiken.dk,18
De virale nyheder,tv2.dk,25
De virale nyheder,videnskab.dk,2
Debat i/om Helsingør Kommune,berlingske.dk,1
Debat i/om Helsingør Kommune,dr.dk,1
Debat i/om Helsingør Kommune,facebook,4
Debat i/om Helsingør Kommune,helsingordagblad.dk,7
Debat i/om Helsingør Kommune,information.dk,2
Debat i/om Helsingør Kommune,jyllands-posten.dk,1
Debat i/om Helsingør Kommune,klimarealisme.dk,1
Debat i/om Helsingør Kommune,nan,40
Debat i/om Helsingør Kommune,nature.com,1
Debat i/om Helsingør Kommune,nyheder.tv2.dk,3
Debat i/om Helsingør Kommune,sn.dk,2
Debat i/om Helsingør Kommune,thesun.co.uk,1
